Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Return.1,Return.2,Return.3,Return
2021-10-19,3619.1138010482414,3639.927007543528,3575.90928722964,3584.737548828125,3135441,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-20,3562.8888124287555,3580.644072291357,3529.647068516887,3559.78173828125,2933693,0.0,0,-0.6961684141990596,-0.6961684141990596,-0.6961684141990596,-0.6961684141990596,-0.6961684141990596
2021-10-21,3555.0963005758395,3558.400607203897,3463.508656020545,3484.4697265625,4871211,0.0,0,-2.115635655659959,-2.115635655659959,-2.115635655659959,-2.115635655659959,-2.115635655659959
2021-10-22,3511.5960586939486,3513.174400442042,3437.61580464843,3451.277587890625,2691670,0.0,0,-0.9525735987558634,-0.9525735987558634,-0.9525735987558634,-0.9525735987558634,-0.9525735987558634
2021-10-25,3455.370921323596,3466.763928135063,3403.0915439812743,3445.45751953125,2595594,0.0,0,-0.1686351854106336,-0.1686351854106336,-0.1686351854106336,-0.1686351854106336,-0.16863518541063363
2021-10-26,3446.986394169395,3481.017308634653,3427.751529471641,3435.248291015625,3878763,0.0,0,-0.2963098066875586,-0.2963098066875586,-0.2963098066875586,-0.2963098066875586,-0.29630980668755863
2021-10-27,3435.642802904376,3463.508697013491,3435.642802904376,3442.301025390625,2510813,0.0,0,0.2053049380286533,0.2053049380286533,0.2053049380286533,0.2053049380286533,0.2053049380286533
2021-10-28,3470.1667619687883,3470.1667619687883,3368.5672234574795,3375.126708984375,2424942,0.0,0,-1.9514364348372817,-1.9514364348372817,-1.9514364348372817,-1.9514364348372817,-1.9514364348372817
2021-10-29,3353.820533529653,3413.941765518082,3339.912150898461,3351.5517578125,3960501,0.0,0,-0.6984908480360148,-0.6984908480360148,-0.6984908480360148,-0.6984908480360148,-0.6984908480360148
2021-11-01,3391.205165625972,3439.58829549191,3366.545083209196,3429.13232421875,2020718,0.0,0,2.3147655776286,2.3147655776286,2.3147655776286,2.3147655776286,2.3147655776285996
